trip_id,class_id,pricing_type,full_price,full_distance_km,minimum_price,rounding_step
1,6,DISTANCE,70,208,5,5
1004,3,DISTANCE,1582,879,5,5
1004,4,DISTANCE,1054,879,5,5
1006,3,DISTANCE,990,550,5,5
1006,4,DISTANCE,660,550,5,5
1007,6,DISTANCE,109,550,5,5
1008,6,DISTANCE,142,1087,5,5
1009,3,DISTANCE,158,879,5,5
1009,4,DISTANCE,114,879,5,5
101,3,DISTANCE,400,182,5,5
101,4,DISTANCE,300,182,5,5
1010,3,DISTANCE,1582,879,5,5
1010,4,DISTANCE,1054,879,5,5
1011,3,DISTANCE,185,879,5,5
1011,4,DISTANCE,136,879,5,5
1012,3,DISTANCE,1582,879,5,5
1012,4,DISTANCE,1054,879,5,5
1013,6,DISTANCE,131,879,5,5
1015,6,DISTANCE,70,1087,5,5
102,6,DISTANCE,27,182,5,5
103,3,DISTANCE,500,182,5,5
103,4,DISTANCE,400,182,5,5
104,6,DISTANCE,27,182,5,5
105,6,DISTANCE,27,182,5,5
106,3,DISTANCE,500,180,5,5
106,4,DISTANCE,400,180,5,5
107,3,DISTANCE,550,182,5,5
107,4,DISTANCE,420,182,5,5
108,6,DISTANCE,27,182,5,5
1083,5,DISTANCE,1000,208,5,5
109,6,DISTANCE,27,182,5,5
110,3,DISTANCE,520,180,5,5
110,4,DISTANCE,410,180,5,5
1109,7,DISTANCE,0,494,5,5
112,6,DISTANCE,27,182,5,5
113,6,DISTANCE,29,195,5,5
1130,6,DISTANCE,70,208,5,5
1131,7,DISTANCE,0,208,5,5
115,3,DISTANCE,620,182,5,5
115,4,DISTANCE,500,182,5,5
118,3,DISTANCE,630,208,5,5
118,4,DISTANCE,500,208,5,5
119,3,DISTANCE,610,208,5,5
119,4,DISTANCE,490,208,5,5
121,6,DISTANCE,37,253,5,5
1211,6,DISTANCE,52,208,5,5
122,3,DISTANCE,640,253,5,5
122,4,DISTANCE,510,253,5,5
123,3,DISTANCE,630,247,5,5
123,4,DISTANCE,510,247,5,5
124,6,DISTANCE,34,227,5,5
125,3,DISTANCE,650,65,5,5
125,4,DISTANCE,520,65,5,5
127,3,DISTANCE,640,65,5,5
127,4,DISTANCE,520,65,5,5
2025,3,DISTANCE,374,208,5,5
2025,4,DISTANCE,249,208,5,5
2026,3,DISTANCE,374,208,5,5
2026,4,DISTANCE,249,208,5,5
31,6,DISTANCE,70,208,5,5
901,3,DISTANCE,165,208,5,5
901,4,DISTANCE,130,208,5,5
905,3,DISTANCE,165,208,5,5
905,4,DISTANCE,130,208,5,5
911,3,DISTANCE,165,208,5,5
911,4,DISTANCE,130,208,5,5
913,3,DISTANCE,160,208,5,5
913,4,DISTANCE,110,208,5,5
915,3,DISTANCE,150,208,5,5
915,4,DISTANCE,120,208,5,5
916,3,DISTANCE,150,208,5,5
916,4,DISTANCE,120,208,5,5
917,3,DISTANCE,150,208,5,5
917,4,DISTANCE,120,208,5,5
921,3,DISTANCE,160,208,5,5
921,4,DISTANCE,130,208,5,5
925,3,DISTANCE,175,110,5,5
925,4,DISTANCE,125,110,5,5
931,3,DISTANCE,190,208,5,5
931,4,DISTANCE,135,208,5,5
936,3,DISTANCE,759,422,5,5
936,4,DISTANCE,506,422,5,5
946,3,DISTANCE,160,234,5,5
946,4,DISTANCE,110,234,5,5
952,3,DISTANCE,200,210,5,5
952,4,DISTANCE,140,210,5,5
980,3,DISTANCE,180,879,5,5
980,4,DISTANCE,130,879,5,5
