trip_id,stop_sequence,station_id,arrival_offset_minutes,departure_offset_minutes,distance_from_origin_km
1,1,39,0,0,0
1,2,74,15,15,13
1,3,53,48,48,44
1,4,104,61,61,56
1,5,52,73,73,67
1,6,87,95,95,87
1,7,108,113,113,104
1,8,21,124,124,114
1,9,50,137,137,126
1,10,64,162,162,149
1,11,6,178,178,164
1,12,107,194,194,179
1,13,72,218,218,201
1,14,15,225,225,208
1004,1,39,0,0,0
1004,2,84,16,16,17
1004,3,23,30,30,32
1004,4,54,107,107,114
1004,5,120,151,151,161
1004,6,46,210,210,225
1004,7,121,248,248,265
1004,8,13,320,320,343
1004,9,85,353,353,378
1004,10,88,391,391,419
1004,11,71,435,435,466
1004,12,59,460,460,493
1004,13,19,477,477,511
1004,14,125,515,515,552
1004,15,101,560,560,600
1004,16,97,580,580,621
1004,17,17,620,620,664
1004,18,10,642,642,688
1004,19,11,672,672,720
1004,20,9,721,721,772
1004,21,113,760,760,814
1004,22,116,781,781,837
1004,23,12,820,820,879
1006,1,39,0,0,0
1006,2,84,14,14,14
1006,3,23,25,25,26
1006,4,48,82,82,86
1006,5,54,108,108,114
1006,6,55,160,160,169
1006,7,46,215,215,227
1006,8,65,269,269,284
1006,9,43,285,285,301
1006,10,122,302,302,319
1006,11,13,350,350,370
1006,12,85,384,384,406
1006,13,88,404,404,427
1006,14,44,420,420,444
1006,15,71,445,445,470
1006,16,59,469,469,496
1006,17,2,502,502,530
1006,18,125,520,520,550
1007,1,125,0,0,0
1007,2,2,18,18,19
1007,3,59,50,50,54
1007,4,71,85,85,92
1007,5,44,103,103,112
1007,6,88,119,119,129
1007,7,85,136,136,148
1007,8,13,180,180,196
1007,9,122,212,212,230
1007,10,43,232,232,252
1007,11,65,248,248,270
1007,12,46,310,310,337
1007,13,55,347,347,377
1007,14,54,398,398,433
1007,15,23,480,480,522
1007,16,84,492,492,535
1007,17,39,505,505,550
1008,1,15,0,0,0
1008,2,72,14,14,15
1008,3,64,54,54,58
1008,4,87,117,117,127
1008,5,53,150,150,163
1008,6,39,205,205,222
1008,7,84,219,219,238
1008,8,23,230,230,250
1008,9,54,309,309,335
1008,10,46,405,405,440
1008,11,121,442,442,480
1008,12,65,464,464,504
1008,13,13,525,525,570
1008,14,83,552,552,600
1008,15,85,565,565,614
1008,16,88,586,586,636
1008,17,71,625,625,679
1008,18,59,650,650,706
1008,19,125,700,700,760
1008,20,101,750,750,815
1008,21,17,810,810,880
1008,22,10,832,832,904
1008,23,11,860,860,934
1008,24,9,905,905,983
1008,25,113,942,942,1023
1008,26,116,961,961,1044
1008,27,12,1000,1000,1087
1009,1,12,0,0,0
1009,2,116,41,41,47
1009,3,113,58,58,66
1009,4,9,95,95,109
1009,5,11,139,139,159
1009,6,17,190,190,218
1009,7,101,243,243,279
1009,8,125,290,290,333
1009,9,59,334,334,383
1009,10,71,365,365,419
1009,11,88,393,393,451
1009,12,85,411,411,472
1009,13,13,455,455,522
1009,14,65,510,510,586
1009,15,121,531,531,610
1009,16,46,575,575,660
1009,17,120,622,622,714
1009,18,54,664,664,762
1009,19,23,745,745,856
1009,20,84,757,757,869
1009,21,39,765,765,879
101,1,16,0,0,0
101,2,119,6,6,7
101,3,126,11,11,14
101,4,33,20,20,26
101,5,92,26,26,33
101,6,67,32,32,41
101,7,1,38,38,49
101,8,7,44,44,57
101,9,30,51,51,66
101,10,93,59,59,76
101,11,94,63,63,81
101,12,100,67,67,87
101,13,96,74,74,96
101,14,105,83,83,107
101,15,60,91,91,118
101,16,4,102,102,132
101,17,117,110,110,143
101,18,80,117,117,152
101,19,22,126,126,163
101,20,90,132,132,171
101,21,31,140,140,182
1010,1,39,0,0,0
1010,2,84,14,14,14
1010,3,23,25,25,25
1010,4,54,102,102,103
1010,5,46,210,210,213
1010,6,121,247,247,250
1010,7,65,269,269,273
1010,8,122,294,294,298
1010,9,13,335,335,340
1010,10,3,355,355,360
1010,11,85,373,373,379
1010,12,88,391,391,397
1010,13,44,405,405,411
1010,14,71,430,430,436
1010,15,59,476,476,483
1010,16,19,495,495,503
1010,17,95,522,522,530
1010,18,125,540,540,548
1010,19,63,560,560,569
1010,20,101,595,595,604
1010,21,103,622,622,632
1010,22,17,660,660,670
1010,23,10,682,682,693
1010,24,11,712,712,723
1010,25,29,732,732,743
1010,26,9,765,765,777
1010,27,116,816,816,829
1010,28,12,865,865,879
1011,1,12,0,0,0
1011,2,116,42,42,43
1011,3,9,92,92,96
1011,4,11,139,139,145
1011,5,17,190,190,198
1011,6,101,240,240,251
1011,7,63,269,269,281
1011,8,125,302,302,316
1011,9,59,349,349,365
1011,10,71,385,385,402
1011,11,44,407,407,425
1011,12,88,421,421,440
1011,13,85,438,438,458
1011,14,83,450,450,470
1011,15,3,462,462,483
1011,16,13,495,495,517
1011,17,43,541,541,566
1011,18,65,559,559,584
1011,19,121,581,581,607
1011,20,46,635,635,664
1011,21,55,675,675,706
1011,22,54,734,734,768
1011,23,23,815,815,852
1011,24,84,827,827,865
1011,25,39,840,840,879
1012,1,39,0,0,0
1012,2,84,14,14,13
1012,3,23,25,25,24
1012,4,48,84,84,82
1012,5,54,110,110,108
1012,6,120,154,154,151
1012,7,55,170,170,166
1012,8,46,230,230,225
1012,9,121,295,295,289
1012,10,65,319,319,313
1012,11,13,380,380,373
1012,12,3,400,400,392
1012,13,85,417,417,409
1012,14,88,435,435,427
1012,15,44,450,450,441
1012,16,71,480,480,471
1012,17,59,505,505,495
1012,18,19,524,524,514
1012,19,95,552,552,542
1012,20,125,575,575,564
1012,21,101,630,630,618
1012,22,103,657,657,645
1012,23,17,695,695,682
1012,24,10,719,719,706
1012,25,11,749,749,735
1012,26,9,796,796,781
1012,27,113,835,835,820
1012,28,116,856,856,840
1012,29,12,895,895,879
1013,1,12,0,0,0
1013,2,61,45,45,45
1013,3,116,59,59,59
1013,4,113,66,66,66
1013,5,68,91,91,91
1013,6,9,121,121,121
1013,7,11,166,166,166
1013,8,10,185,185,185
1013,9,17,230,230,231
1013,10,103,259,259,260
1013,11,101,285,285,286
1013,12,125,333,333,334
1013,13,95,347,347,348
1013,14,19,372,372,373
1013,15,59,389,389,390
1013,16,71,430,430,431
1013,17,44,448,448,450
1013,18,88,463,463,465
1013,19,85,495,495,497
1013,20,83,506,506,508
1013,21,3,518,518,520
1013,22,13,550,550,552
1013,23,65,605,605,607
1013,24,121,626,626,628
1013,25,46,675,675,678
1013,26,55,711,711,714
1013,27,120,725,725,728
1013,28,54,768,768,771
1013,29,48,794,794,797
1013,30,23,853,853,856
1013,31,84,862,862,865
1013,32,39,875,875,879
1015,1,12,0,0,0
1015,2,116,40,40,39
1015,3,113,57,57,56
1015,4,68,72,72,71
1015,5,9,100,100,99
1015,6,11,143,143,142
1015,7,10,170,170,169
1015,8,17,205,205,204
1015,9,103,232,232,231
1015,10,101,258,258,257
1015,11,63,284,284,283
1015,12,125,310,310,309
1015,13,95,323,323,322
1015,14,2,333,333,332
1015,15,19,352,352,351
1015,16,59,369,369,367
1015,17,35,380,380,378
1015,18,45,390,390,388
1015,19,71,415,415,413
1015,20,13,495,495,493
1015,21,121,561,561,559
1015,22,46,640,640,638
1015,23,70,654,654,652
1015,24,55,682,682,680
1015,25,120,699,699,697
1015,26,37,717,717,715
1015,27,51,734,734,731
1015,28,54,755,755,752
1015,29,48,784,784,781
1015,30,23,843,843,840
1015,31,84,852,852,849
1015,32,39,905,905,902
1015,33,53,940,940,937
1015,34,87,980,980,977
1015,35,64,1040,1040,1037
1015,36,72,1083,1083,1080
1015,37,15,1090,1090,1087
102,1,31,0,0,0
102,2,90,9,9,11
102,3,22,15,15,19
102,4,80,24,24,31
102,5,117,31,31,40
102,6,4,39,39,50
102,7,60,49,49,63
102,8,105,57,57,74
102,9,96,66,66,85
102,10,100,73,73,94
102,11,94,77,77,100
102,12,93,81,81,105
102,13,30,89,89,115
102,14,7,96,96,124
102,15,1,102,102,132
102,16,67,108,108,140
102,17,92,114,114,148
102,18,33,120,120,156
102,19,126,130,130,169
102,20,119,135,135,175
102,21,16,140,140,182
103,1,16,0,0,0
103,2,119,6,6,7
103,3,126,11,11,14
103,4,33,20,20,26
103,5,92,26,26,33
103,6,67,33,33,42
103,7,1,38,38,49
103,8,7,44,44,57
103,9,30,51,51,66
103,10,93,59,59,76
103,11,94,63,63,81
103,12,100,67,67,87
103,13,96,74,74,96
103,14,105,82,82,106
103,15,60,91,91,118
103,16,4,102,102,132
103,17,117,110,110,143
103,18,80,117,117,152
103,19,22,126,126,163
103,20,90,132,132,171
103,21,31,140,140,182
104,1,31,0,0,0
104,2,90,9,9,11
104,3,22,15,15,19
104,4,80,24,24,31
104,5,117,31,31,40
104,6,4,39,39,50
104,7,60,49,49,63
104,8,105,57,57,74
104,9,96,66,66,85
104,10,100,73,73,94
104,11,94,77,77,100
104,12,93,81,81,105
104,13,30,89,89,115
104,14,7,96,96,124
104,15,1,102,102,132
104,16,67,108,108,140
104,17,92,114,114,148
104,18,33,120,120,156
104,19,126,130,130,169
104,20,119,135,135,175
104,21,16,140,140,182
105,1,16,0,0,0
105,2,119,-4,-4,-5
105,3,126,11,11,14
105,4,33,20,20,26
105,5,92,26,26,33
105,6,67,32,32,41
105,7,1,38,38,49
105,8,7,44,44,57
105,9,30,51,51,66
105,10,93,59,59,76
105,11,94,52,52,67
105,12,100,67,67,87
105,13,96,74,74,96
105,14,105,83,83,107
105,15,60,91,91,118
105,16,4,102,102,132
105,17,117,110,110,143
105,18,80,117,117,152
105,19,22,126,126,163
105,20,90,132,132,171
105,21,31,140,140,182
106,1,31,0,0,0
106,2,90,9,9,11
106,3,22,15,15,19
106,4,80,24,24,31
106,5,117,31,31,40
106,6,4,39,39,50
106,7,60,49,49,63
106,8,105,57,57,73
106,9,96,66,66,85
106,10,100,72,72,93
106,11,94,77,77,99
106,12,93,81,81,104
106,13,30,89,89,115
106,14,7,96,96,124
106,15,1,102,102,132
106,16,67,108,108,139
106,17,92,114,114,147
106,18,33,120,120,155
106,19,126,130,130,168
106,20,119,135,135,174
106,21,16,139,139,180
107,1,16,0,0,0
107,2,119,6,6,7
107,3,126,11,11,14
107,4,33,20,20,26
107,5,92,26,26,33
107,6,67,33,33,42
107,7,1,38,38,49
107,8,7,44,44,57
107,9,30,51,51,66
107,10,93,59,59,76
107,11,94,63,63,81
107,12,100,67,67,87
107,13,96,74,74,96
107,14,105,83,83,107
107,15,60,91,91,118
107,16,4,102,102,132
107,17,117,110,110,143
107,18,80,117,117,152
107,19,22,126,126,163
107,20,90,132,132,171
107,21,31,140,140,182
108,1,31,0,0,0
108,2,90,9,9,11
108,3,22,15,15,19
108,4,80,24,24,31
108,5,117,31,31,40
108,6,4,39,39,50
108,7,60,49,49,63
108,8,105,57,57,74
108,9,96,66,66,85
108,10,100,72,72,93
108,11,94,77,77,100
108,12,93,81,81,105
108,13,30,89,89,115
108,14,7,96,96,124
108,15,1,102,102,132
108,16,67,108,108,140
108,17,92,114,114,148
108,18,33,120,120,156
108,19,126,130,130,169
108,20,119,135,135,175
108,21,16,140,140,182
1083,1,39,0,0,0
1083,2,72,158,158,199
1083,3,15,165,165,208
109,1,16,0,0,0
109,2,119,6,6,7
109,3,126,11,11,14
109,4,33,20,20,26
109,5,92,26,26,33
109,6,67,32,32,41
109,7,1,38,38,49
109,8,7,44,44,57
109,9,30,51,51,66
109,10,93,59,59,76
109,11,94,63,63,81
109,12,100,67,67,87
109,13,96,74,74,96
109,14,105,82,82,106
109,15,60,91,91,118
109,16,4,102,102,132
109,17,117,110,110,143
109,18,80,117,117,152
109,19,22,126,126,163
109,20,90,132,132,171
109,21,31,140,140,182
110,1,31,0,0,0
110,2,90,9,9,11
110,3,22,15,15,19
110,4,80,24,24,31
110,5,117,31,31,40
110,6,4,39,39,50
110,7,60,49,49,63
110,8,105,57,57,73
110,9,96,66,66,85
110,10,100,73,73,94
110,11,94,77,77,99
110,12,93,81,81,104
110,13,30,89,89,115
110,14,7,96,96,124
110,15,1,102,102,132
110,16,67,108,108,139
110,17,92,114,114,147
110,18,33,120,120,155
110,19,126,130,130,168
110,20,119,135,135,174
110,21,16,139,139,180
1109,1,38,0,0,0
1109,2,48,65,65,84
1109,3,36,91,91,118
1109,4,23,132,132,171
1109,5,84,142,142,184
1109,6,39,165,165,214
1109,7,53,206,206,267
1109,8,104,219,219,284
1109,9,52,245,245,318
1109,10,87,266,266,345
1109,11,50,300,300,390
1109,12,64,325,325,422
1109,13,72,373,373,484
1109,14,15,380,380,494
112,1,31,0,0,0
112,2,90,9,9,11
112,3,22,15,15,19
112,4,80,24,24,31
112,5,117,31,31,40
112,6,4,39,39,50
112,7,60,49,49,63
112,8,105,57,57,74
112,9,96,66,66,85
112,10,100,73,73,94
112,11,94,77,77,100
112,12,93,81,81,105
112,13,30,89,89,115
112,14,7,96,96,124
112,15,1,102,102,132
112,16,67,108,108,140
112,17,92,114,114,148
112,18,33,120,120,156
112,19,126,130,130,169
112,20,119,135,135,175
112,21,16,140,140,182
113,1,16,0,0,0
113,2,119,6,6,7
113,3,126,21,21,27
113,4,33,150,150,195
113,5,92,36,36,46
113,6,67,42,42,54
113,7,1,48,48,62
113,8,7,54,54,70
113,9,30,61,61,79
113,10,93,69,69,89
113,11,94,73,73,94
113,12,100,77,77,100
113,13,96,84,84,109
113,14,105,92,92,119
113,15,60,101,101,131
113,16,4,112,112,145
113,17,117,120,120,156
113,18,80,127,127,165
113,19,22,136,136,176
113,20,90,142,142,184
113,21,31,150,150,195
1130,1,15,0,0,0
1130,2,72,12,12,15
1130,3,64,53,53,66
1130,4,50,69,69,86
1130,5,87,99,99,124
1130,6,53,130,130,163
1130,7,39,165,165,208
1131,1,39,0,0,0
1131,2,53,38,38,45
1131,3,87,70,70,83
1131,4,50,101,101,120
1131,5,64,123,123,146
1131,6,72,168,168,199
1131,7,15,175,175,208
115,1,16,0,0,0
115,2,119,6,6,7
115,3,126,11,11,14
115,4,33,20,20,26
115,5,92,26,26,33
115,6,67,32,32,41
115,7,1,38,38,49
115,8,7,44,44,57
115,9,30,51,51,66
115,10,93,59,59,76
115,11,94,64,64,83
115,12,100,68,68,88
115,13,96,75,75,97
115,14,105,84,84,109
115,15,60,93,93,120
115,16,4,104,104,135
115,17,117,112,112,145
115,18,80,119,119,154
115,19,22,128,128,166
115,20,90,134,134,174
115,21,31,140,140,182
118,1,15,0,0,0
118,2,72,12,12,8
118,3,107,35,35,23
118,4,6,51,51,34
118,5,64,69,69,46
118,6,50,89,89,59
118,7,108,108,108,72
118,8,87,140,140,93
118,9,57,153,153,102
118,10,18,165,165,110
118,11,76,175,175,117
118,12,77,181,181,121
118,13,82,188,188,126
118,14,24,193,193,129
118,15,123,202,202,135
118,16,69,221,221,148
118,17,14,226,226,151
118,18,25,238,238,159
118,19,26,242,242,162
118,20,78,246,246,165
118,21,62,252,252,169
118,22,41,263,263,176
118,23,99,272,272,182
118,24,98,282,282,189
118,25,74,295,295,197
118,26,39,310,310,208
119,1,39,0,0,0
119,2,74,15,15,10
119,3,98,26,26,18
119,4,99,30,30,21
119,5,41,40,40,29
119,6,62,51,51,37
119,7,78,57,57,41
119,8,26,61,61,44
119,9,25,69,69,50
119,10,14,78,78,56
119,11,69,85,85,62
119,12,66,92,92,67
119,13,123,108,108,78
119,14,24,114,114,83
119,15,82,120,120,87
119,16,77,127,127,92
119,17,76,131,131,95
119,18,18,141,141,102
119,19,57,152,152,110
119,20,87,170,170,124
119,21,108,188,188,137
119,22,50,207,207,151
119,23,64,232,232,169
119,24,72,278,278,202
119,25,15,285,285,208
121,1,39,0,0,0
121,2,74,15,15,19
121,3,98,26,26,33
121,4,99,30,30,38
121,5,79,35,35,45
121,6,41,41,41,53
121,7,62,51,51,66
121,8,111,55,55,71
121,9,78,59,59,76
121,10,26,63,63,81
121,11,25,71,71,92
121,12,118,76,76,98
121,13,14,83,83,107
121,14,69,89,89,115
121,15,58,95,95,123
121,16,66,101,101,131
121,17,81,106,106,137
121,18,114,111,111,144
121,19,109,116,116,150
121,20,123,121,121,156
121,21,24,127,127,164
121,22,82,132,132,171
121,23,77,146,146,189
121,24,76,150,150,194
121,25,86,155,155,201
121,26,106,159,159,206
121,27,18,162,162,210
121,28,112,168,168,217
121,29,57,179,179,232
121,30,110,188,188,243
121,31,87,195,195,253
1211,1,39,0,0,0
1211,2,74,15,15,12
1211,3,98,24,24,19
1211,4,102,37,37,30
1211,5,89,46,46,37
1211,6,53,61,61,49
1211,7,104,74,74,60
1211,8,52,87,87,70
1211,9,87,108,108,88
1211,10,108,129,129,105
1211,11,21,140,140,114
1211,12,50,153,153,124
1211,13,64,192,192,156
1211,14,6,208,208,169
1211,15,107,224,224,182
1211,16,72,248,248,202
1211,17,15,255,255,208
122,1,87,0,0,0
122,2,112,17,17,22
122,3,18,28,28,36
122,4,76,38,38,49
122,5,77,42,42,54
122,6,82,50,50,64
122,7,24,61,61,79
122,8,123,76,76,98
122,9,114,87,87,112
122,10,66,105,105,136
122,11,58,108,108,140
122,12,69,114,114,147
122,13,14,120,120,155
122,14,25,129,129,167
122,15,26,133,133,172
122,16,78,137,137,177
122,17,62,143,143,185
122,18,41,157,157,203
122,19,98,170,170,220
122,20,74,180,180,233
122,21,39,195,195,253
123,1,39,0,0,0
123,2,74,17,17,22
123,3,98,30,30,39
123,4,99,34,34,44
123,5,41,45,45,58
123,6,62,55,55,71
123,7,78,61,61,79
123,8,25,70,70,91
123,9,14,81,81,105
123,10,69,87,87,113
123,11,123,112,112,145
123,12,24,125,125,162
123,13,82,132,132,171
123,14,77,142,142,184
123,15,76,148,148,192
123,16,18,164,164,213
123,17,57,175,175,227
123,18,87,190,190,247
124,1,87,0,0,0
124,2,57,27,27,35
124,3,18,32,32,41
124,4,76,43,43,55
124,5,77,47,47,60
124,6,82,55,55,71
124,7,24,61,61,79
124,8,123,69,69,89
124,9,66,86,86,111
124,10,69,94,94,121
124,11,14,100,100,129
124,12,25,109,109,141
124,13,78,115,115,149
124,14,62,124,124,160
124,15,41,134,134,173
124,16,99,144,144,186
124,17,98,149,149,193
124,18,74,160,160,207
124,19,39,175,175,227
125,1,38,0,0,0
125,2,91,6,6,7
125,3,34,11,11,14
125,4,73,19,19,24
125,5,47,26,26,33
125,6,27,33,33,42
125,7,49,38,38,49
125,8,115,43,43,55
125,9,48,50,50,65
127,1,38,0,0,0
127,2,91,6,6,7
127,3,34,11,11,14
127,4,73,19,19,24
127,5,47,25,25,32
127,6,27,32,32,41
127,7,49,37,37,48
127,8,115,42,42,54
127,9,48,50,50,65
2025,1,39,0,0,0
2025,2,72,143,143,198
2025,3,15,150,150,208
2026,1,15,0,0,0
2026,2,72,15,15,20
2026,3,39,150,150,208
