trip_id,agency_id,train_type_id,origin_station_id,destination_station_id,departure_time,total_duration_minutes
1,1,2,39,15,٣:٠٠ AM,225
1004,1,6,39,12,٩:٣٠ AM,820
1006,1,6,39,125,٦:٠٠ AM,520
1007,1,2,125,39,٦:١٠ PM,505
1008,1,2,15,12,٧:٥٠ PM,1000
1009,1,5,12,39,٧:٢٠ PM,765
101,1,7,16,31,٥:٢٠ AM,140
1010,1,6,39,12,١٢:٠٥ AM,865
1011,1,5,12,39,١١:٢٠ PM,840
1012,1,6,39,12,٨:٢٠ PM,895
1013,1,2,12,39,١:٢٠ PM,875
1015,1,2,12,15,٥:٣٠ PM,1090
102,1,1,31,16,٦:٠٠ AM,140
103,1,6,16,31,٧:٠٠ AM,140
104,1,1,31,16,٨:٠٠ AM,140
105,1,1,16,31,١٠:٣٠ AM,140
106,1,7,31,16,١١:٠٠ AM,139
107,1,6,16,31,١:٠٠ PM,140
108,1,1,31,16,١:٣٠ PM,140
1083,1,4,39,15,٧:٢٠ AM,165
109,1,1,16,31,٣:٢٠ PM,140
110,1,7,31,16,٤:٣٠ PM,139
1109,1,3,38,15,٥:٥٠ AM,380
112,1,1,31,16,٧:٣٠ PM,140
113,1,1,16,31,٥:٢٠ PM,150
1130,1,2,15,39,٧:٣٠ PM,165
1131,1,3,39,15,٧:٠٠ AM,175
115,1,6,16,31,٩:٢٠ PM,140
118,1,7,15,39,٥:١٠ PM,310
119,1,6,39,15,٥:٠٠ AM,285
121,1,1,39,87,٢:٣٠ PM,195
1211,1,2,39,15,١٠:١٠ AM,255
122,1,7,87,39,٧:١٥ AM,195
123,1,6,39,87,٨:٠٠ PM,190
124,1,1,87,39,٨:١٠ AM,175
125,1,7,38,48,٦:١٥ AM,50
127,1,6,38,48,٨:٣٥ AM,50
2025,1,6,39,15,٨:٠٠ AM,150
2026,1,6,15,39,٦:٥٠ PM,150
31,1,2,39,15,٨:٣٠ PM,220
901,1,7,39,15,٨:١٠ AM,185
905,1,7,39,15,٩:٠٠ AM,150
911,1,7,39,15,١٠:٠٠ AM,185
913,1,5,39,15,١٢:٠٠ PM,165
915,1,5,39,15,٣:١٠ PM,185
916,1,5,15,39,٣:٠٠ PM,150
917,1,5,39,15,٣:٠٠ PM,150
921,1,5,39,15,٦:٠٠ PM,155
925,1,5,39,87,٦:٤٥ PM,85
931,1,7,39,15,٨:١٥ PM,200
936,1,6,87,46,٥:٤٠ AM,325
946,1,5,16,39,٥:٠٠ AM,180
952,1,7,56,39,٥:٣٠ AM,270
980,1,5,39,12,٨:٠٠ AM,865
