city,station_name,station_id,latitude,longitude
Cairo,hyber one,615,30.0276,31.0046
Cairo,tahrir,8,30.0445,31.2357
Cairo,giza,15,30.0131,31.2089
Cairo,El-Tagamou El-Khames,87,30.03,31.47
Cairo,naser city,27,30.0561,31.33
Cairo,nady el sekka,9,30.061,31.2467
Cairo,el rehab,42,30.0636,31.4916
Cairo,madinty,43,30.0956,31.6386
Cairo,kolaly,76,30.0429,31.2146
Cairo,sixith of october,98,29.9561,31.0042
Cairo,cairo-alex gate,65,30.0565,31.0209
Hurghada,hurghada,1,27.2579,33.8116
Hurghada,elahyaa,606,27.3098,33.7802
Sharm el Shiekh,Royssat,3,27.8736,34.3033
Sharm el Shiekh,Sharm Gobus Station,51,27.9158,34.33
Alexandria,Sedi Gaber _ Smouha,64,31.2156,29.9424
Alexandria,Moharam BK,18,31.1917,29.9187
Alexandria,Miami,145,31.2725,30.0126
Marsa Matrouh,سيشل,667,31.3543,27.2373
Marsa Matrouh,لافيستا,668,31.335,27.21
Marsa Matrouh,Marsa Matrouh,68,31.3543,27.2373
Marsa Matrouh,Porto Matrouh,75,31.3587,27.23
Safaga,Safaga,10,26.7472,33.9389
Marsa Allam,Marsa Allam,23,25.063,34.894
Sokhna,Porto El Sokhna,26,29.4397,32.4867
Sokhna,Porto South Beach,245,29.4405,32.489
Sokhna,Cancun,164,29.46,32.46
Sokhna,Mountain View 1 (Dayra Camp),1164,29.48,32.44
Sokhna,Grand Ocean,188,29.455,32.455
Qena,Qena,63,26.1551,32.716
Luxor,Luxor,57,25.6872,32.6396
Assiut,Assiut,36,27.1809,31.1837
Assiut,Asiut - Hellaly,146,27.17,31.19
North Coast,(Marasi) North Coast,66,30.96,28.74
North Coast,Marina 5,69,31.045,28.04
North Coast,Marina 7,70,31.06,28.02
North Coast,Maraqia,370,31.1,27.9
Makadi,Makadi,21,26.9917,33.8997
Ras Sedr,Mousa Coast,196,29.592,32.72
Ras Sedr,Matarma Bay_ Ras Sedr,197,29.6,32.71
Ras Sedr,Tavira_ Ras Sedr,366,29.585,32.725
Ras Sedr,Lahaisenda_ Ras Sedr,367,29.61,32.7
Ras Sedr,Nozha Beach,611,29.58,32.735
Dahab,Dahab,40,28.5,34.5167
Nuweiba,Nuweiba,106,29.0333,34.6667
Al Menia,El-Minya,104,28.0871,30.7618
Taba,Taba Heights,129,29.489,34.896
Sahl Hashesh,Sahl Hashesh,22,27.0397,33.8922
Mallawy,Mallawy,105,27.7317,30.8417
Al Quseir,Al Quseir,24,26.1062,34.2831
Soma Bay,Soma Bay,202,26.8,34.0
Mansoura,Mansoura,30,31.0364,31.3807
El Dabaa,الضبعة - ريست,10108,31.0354,28.4368
El Dabaa,الضبعة,10099,31.0354,28.4368
Port Said,Port Said Downtown,378,31.2653,32.3019
Port Said,Port Said,78,31.2653,32.3019
El Gona,El Gouna,7,27.39,33.68
